Year,Issue,Author,Title,Abstract,source,text
2011,3,Jeong-Nam Kim & Yunna Rhee,Strategic Thinking about Employee Communication Behavior (ECB) in Public Relations: Testing the Models of Megaphoning and Scouting Effects in Korea,"In public relations, employees are regarded as one of the most important strategic constituencies because they interact with external publics on a daily basis. However, employees' communication behavior (ECB) has not been extensively researched in public relations. The purpose of this research was to conceptualize and develop concrete measurements of ECB that can help theoretical development and strategic planning in public relations. In particular, the study identified two unique aspects of ECB—megaphoning and scouting—that refer to employees' voluntary efforts to collect and circulate strategic information externally and internally. In addition, a new concept, microboundary spanning, based on the two aspects of ECB is conceptualized. In this study, symmetrical internal communication and employee-organization relationships were posited as antecedent variables to the proposed ECB variables. A survey research was conducted with 300 employees in different types of organizations in Korea.",academic_research,"Strategic Thinking about Employee Communication Behavior (ECB) in Public Relations: Testing the Models of Megaphoning and Scouting Effects in KoreaIn public relations, employees are regarded as one of the most important strategic constituencies because they interact with external publics on a daily basis. However, employees' communication behavior (ECB) has not been extensively researched in public relations. The purpose of this research was to conceptualize and develop concrete measurements of ECB that can help theoretical development and strategic planning in public relations. In particular, the study identified two unique aspects of ECB—megaphoning and scouting—that refer to employees' voluntary efforts to collect and circulate strategic information externally and internally. In addition, a new concept, microboundary spanning, based on the two aspects of ECB is conceptualized. In this study, symmetrical internal communication and employee-organization relationships were posited as antecedent variables to the proposed ECB variables. A survey research was conducted with 300 employees in different types of organizations in Korea."
2011,3,Lan Ni & Qi Wang,Anxiety and Uncertainty Management in an Intercultural Setting: The Impact on Organization–Public Relationships,"Past research has found that relationship cultivation strategies affect relationship outcomes. This study uses Gudykunst's (1985, 2005) Anxiety and Uncertainty Management (AUM) theory as the theoretical framework to examine whether the effects from cultivation strategies to relationship outcomes are mediated through anxiety and uncertainty management. An online survey solicitation was sent to a university's international student listserv, and 246 participants from 32 countries completed the questionnaires. Structural equation modeling was used to analyze the data. Results largely supported the hypotheses, and indicated that cultivation strategies have both direct and indirect effects on relational outcomes, partially mediated by uncertainty and anxiety.",academic_research,"Anxiety and Uncertainty Management in an Intercultural Setting: The Impact on Organization–Public RelationshipsPast research has found that relationship cultivation strategies affect relationship outcomes. This study uses Gudykunst's (1985, 2005) Anxiety and Uncertainty Management (AUM) theory as the theoretical framework to examine whether the effects from cultivation strategies to relationship outcomes are mediated through anxiety and uncertainty management. An online survey solicitation was sent to a university's international student listserv, and 246 participants from 32 countries completed the questionnaires. Structural equation modeling was used to analyze the data. Results largely supported the hypotheses, and indicated that cultivation strategies have both direct and indirect effects on relational outcomes, partially mediated by uncertainty and anxiety."
2011,3,Alexander V. Laskin,How Investor Relations Contributes to the Corporate Bottom Line,"Investor relations officers say that one of the biggest challenges of their work is proving to the senior management that investor relations contributes value to the organization. This study provides an initial step in evaluating investor relations' contribution to an organization's bottom line. The study first offers a theoretical overview of academic and professional literature dealing with the contribution of investor relations to the organizational bottom line. Second this theoretical overview serves as a starting point for an empirical investigation organized as a Delphi panel. Investor relations officers from corporations and investor relations agencies were recruited to participate in the panel and share their practical insights in response to the theoretically identified indicators of investor relations value. As a result, the study found 4 key areas of investor relations contribution: fair share price, improved liquidity of stock, enhanced analyst coverage, and building and maintaining investor relationships.",academic_research,"How Investor Relations Contributes to the Corporate Bottom LineInvestor relations officers say that one of the biggest challenges of their work is proving to the senior management that investor relations contributes value to the organization. This study provides an initial step in evaluating investor relations' contribution to an organization's bottom line. The study first offers a theoretical overview of academic and professional literature dealing with the contribution of investor relations to the organizational bottom line. Second this theoretical overview serves as a starting point for an empirical investigation organized as a Delphi panel. Investor relations officers from corporations and investor relations agencies were recruited to participate in the panel and share their practical insights in response to the theoretically identified indicators of investor relations value. As a result, the study found 4 key areas of investor relations contribution: fair share price, improved liquidity of stock, enhanced analyst coverage, and building and maintaining investor relationships."
2011,3,Phillip Hutchison,"Hyping White Hopes: Press Agentry and Its Media Affiliations During the Era of Jack Johnson, 1908–1915","The social presence of African American boxing champion Jack Johnson stands out among the most controversial social and media issues of the early 20th century. This study examines the manner in which press agentry shaped and animated this 6-year historical episode. It portrays press agentry not merely in terms of personalities, but also in terms of a network of social and economic affiliations among promoters, sports celebrities, and the press. I argue that understanding these affiliations not only better informs the Johnson situation, but it also sheds light on the ambivalent relationship between journalism and publicity practices over time.",academic_research,"Hyping White Hopes: Press Agentry and Its Media Affiliations During the Era of Jack Johnson, 1908–1915The social presence of African American boxing champion Jack Johnson stands out among the most controversial social and media issues of the early 20th century. This study examines the manner in which press agentry shaped and animated this 6-year historical episode. It portrays press agentry not merely in terms of personalities, but also in terms of a network of social and economic affiliations among promoters, sports celebrities, and the press. I argue that understanding these affiliations not only better informs the Johnson situation, but it also sheds light on the ambivalent relationship between journalism and publicity practices over time."
2011,4,Debashish Munshi & Lee Edwards,Understanding ‘Race’ In/And Public Relations: Where Do We Start and Where Should We Go?,"Our starting point for a broader discussion on ‘race’ 1 in/and public relations (PR) is that, despite its virtual invisibility in the scholarly literature, race is firmly embedded in the context and practice of PR. Although scholars are slowly beginning to engage with race (e.g., Edwards, 2010b; Pompper, 2005; 2010; Waymer, 2010), PR scholarship has not yet paid sufficient attention to the ‘raced’ nature of the field. The dominant, functional perspectives of PR concentrate primarily on organizational goals, apparently oblivious to the impact that such goals have in relation to issues of race. On the other hand, critical approaches look at PR as a social and cultural phenomenon but these too, by and large, bypass race as an inherent part of the social and cultural domain. This special issue received many manuscripts, all encouraging in their attempts to address race. However, as we considered each one, we realized that we were perhaps more radical than most in our understanding of race. We, therefore, begin here by defining our understanding of race and explaining its relevance to public relations, to lay the groundwork for the development of ideas about how to study race in/and public relations as we move forward.",academic_research,"Understanding ‘Race’ In/And Public Relations: Where Do We Start and Where Should We Go?Our starting point for a broader discussion on ‘race’ 1 in/and public relations (PR) is that, despite its virtual invisibility in the scholarly literature, race is firmly embedded in the context and practice of PR. Although scholars are slowly beginning to engage with race (e.g., Edwards, 2010b; Pompper, 2005; 2010; Waymer, 2010), PR scholarship has not yet paid sufficient attention to the ‘raced’ nature of the field. The dominant, functional perspectives of PR concentrate primarily on organizational goals, apparently oblivious to the impact that such goals have in relation to issues of race. On the other hand, critical approaches look at PR as a social and cultural phenomenon but these too, by and large, bypass race as an inherent part of the social and cultural domain. This special issue received many manuscripts, all encouraging in their attempts to address race. However, as we considered each one, we realized that we were perhaps more radical than most in our understanding of race. We, therefore, begin here by defining our understanding of race and explaining its relevance to public relations, to lay the groundwork for the development of ideas about how to study race in/and public relations as we move forward."
2011,4,Patricia Curtin,Discourses of American Indian Racial Identity in the Public Relations Materials of the Fred Harvey Company: 1902–1936,"This study explores the discursive identities constructed by Harvey Company personnel around American Indians in their tourist promotional literature and practices, merchandising, and employee relations practices. The study disputes the dominant narrative that the company promoted only cultural imperialism and commodification, using the cultural–economic model of public relations practice to provide a more nuanced lens that reveals varying, and sometimes conflicting, discourses used to achieve and legitimize organizational objectives. The findings suggest ways in which public relations, tourism, and ethnicity form interrelated areas of study that deserve further theoretical development.",academic_research,"Discourses of American Indian Racial Identity in the Public Relations Materials of the Fred Harvey Company: 1902–1936This study explores the discursive identities constructed by Harvey Company personnel around American Indians in their tourist promotional literature and practices, merchandising, and employee relations practices. The study disputes the dominant narrative that the company promoted only cultural imperialism and commodification, using the cultural–economic model of public relations practice to provide a more nuanced lens that reveals varying, and sometimes conflicting, discourses used to achieve and legitimize organizational objectives. The findings suggest ways in which public relations, tourism, and ethnicity form interrelated areas of study that deserve further theoretical development."
2011,4,Jordi Xifra & David McKie,"Desolidifying Culture: Bauman, Liquid Theory, and Race Concerns in Public Relations","This article examines approaches to race in public relations and seeks to reframe them through the work of Zygmunt Bauman. After a brief survey of recent race-concerned interventions in the literature, I contend that the mainstream field still tends to avoid anxieties around race in 3 main ways: by considering race from a functionalist business orientation rather than a social equity perspective; by embedding, or freezing, race in relatively static, quantitative, and unemotional conceptualizations of culture and ethnicity; and by acting as if race is no longer an issue in a multicultural, or postrace society. I find these approaches inadequate to the task of comprehending a swift-moving and unsettled present characterized by massive population movements. To improve the field's engagement with the cultural and demographic fluidity of contemporary conditions, especially in relation to race, I open up possibilities for public relations by drawing from Bauman's concept of liquid society and his methodological creativity.",academic_research,"Desolidifying Culture: Bauman, Liquid Theory, and Race Concerns in Public RelationsThis article examines approaches to race in public relations and seeks to reframe them through the work of Zygmunt Bauman. After a brief survey of recent race-concerned interventions in the literature, I contend that the mainstream field still tends to avoid anxieties around race in 3 main ways: by considering race from a functionalist business orientation rather than a social equity perspective; by embedding, or freezing, race in relatively static, quantitative, and unemotional conceptualizations of culture and ethnicity; and by acting as if race is no longer an issue in a multicultural, or postrace society. I find these approaches inadequate to the task of comprehending a swift-moving and unsettled present characterized by massive population movements. To improve the field's engagement with the cultural and demographic fluidity of contemporary conditions, especially in relation to race, I open up possibilities for public relations by drawing from Bauman's concept of liquid society and his methodological creativity."
2011,4,Jennifer Vardeman-Winter,Confronting Whiteness in Public Relations Campaigns and Research with Women,"This article addresses the need for more critical work in identifying the relationship between public relations and race. I used the concept of Whiteness to question how women publics have perceived race portrayals in public health messages. Women reported that campaigns have disembodied race, perpetuated reductionist assumptions, and fetishized racial diversity. I interrogated my assumptions and methods as a White researcher to elucidate agency, vulnerability, and performance issues specific to public relations researchers and communicators. I suggest strategies for reflecting upon and situating racial discussions with research participants.",academic_research,"Confronting Whiteness in Public Relations Campaigns and Research with WomenThis article addresses the need for more critical work in identifying the relationship between public relations and race. I used the concept of Whiteness to question how women publics have perceived race portrayals in public health messages. Women reported that campaigns have disembodied race, perpetuated reductionist assumptions, and fetishized racial diversity. I interrogated my assumptions and methods as a White researcher to elucidate agency, vulnerability, and performance issues specific to public relations researchers and communicators. I suggest strategies for reflecting upon and situating racial discussions with research participants."
2011,4,Nneka Logan,The White Leader Prototype: A Critical Analysis of Race in Public Relations,"This article introduces the theoretical concept of the White leader prototype through an analysis of race in the public relations field. Critical race, Whiteness, ideological, and public relations theories are united to explicate the White leader prototype as a theoretical concept able to account for racial imbalance at leadership levels in public relations. A descriptive case study illustrates that race may be the most salient factor influencing leadership ascension in public relations. Although the White leader prototype is theorized in the context of the United States, the concept has global significance because it is applicable to other circumstances where diverse groups of people coexist.",academic_research,"The White Leader Prototype: A Critical Analysis of Race in Public RelationsThis article introduces the theoretical concept of the White leader prototype through an analysis of race in the public relations field. Critical race, Whiteness, ideological, and public relations theories are united to explicate the White leader prototype as a theoretical concept able to account for racial imbalance at leadership levels in public relations. A descriptive case study illustrates that race may be the most salient factor influencing leadership ascension in public relations. Although the White leader prototype is theorized in the context of the United States, the concept has global significance because it is applicable to other circumstances where diverse groups of people coexist."
2011,4,Damion Waymer & Omari Dyson,The Journey into an Unfamiliar and Uncomfortable Territory: Exploring the Role and Approaches of Race in PR Education,"Race has been, and continues to be, one of those topics that is timely, current, and highly relevant in contemporary society; however, discussion and problematizing of race in public relations (PR) scholarship has been mostly absent (Edwards, 2010; Pompper, 2005). This study continues to address this void by exploring how some faculty perceive the role of race in PR, as well as how they approach race in their curriculum. This article, using a mixed-method design of the e-mail interview method (Hunt & McHale, 2007) and an autoethnographic analysis (Ellis & Bochner, 2000) of the first author's PR experiences, demonstrates the challenges that some faculty members face, as well as the opportunities that they have undertaken to integrate race into the PR curriculum in meaningful ways.",academic_research,"The Journey into an Unfamiliar and Uncomfortable Territory: Exploring the Role and Approaches of Race in PR EducationRace has been, and continues to be, one of those topics that is timely, current, and highly relevant in contemporary society; however, discussion and problematizing of race in public relations (PR) scholarship has been mostly absent (Edwards, 2010; Pompper, 2005). This study continues to address this void by exploring how some faculty perceive the role of race in PR, as well as how they approach race in their curriculum. This article, using a mixed-method design of the e-mail interview method (Hunt & McHale, 2007) and an autoethnographic analysis (Ellis & Bochner, 2000) of the first author's PR experiences, demonstrates the challenges that some faculty members face, as well as the opportunities that they have undertaken to integrate race into the PR curriculum in meaningful ways."
2012,1,Hilary Fussell Sisco,Nonprofit in Crisis: An Examination of the Applicability of Situational Crisis Communication Theory,"Coombs' (2007) Situational Crisis Communication Theory (SCCT) provides the theoretical framework for a 3 × 2 experiment testing the effects of SCCT response strategies from a nonprofit organization. The body of research devoted to crisis communication rarely addresses one of the largest areas of public relations, the public sector. Findings illustrate that in two extremes, one in which the nonprofit is a victim and one in which the nonprofit acts intentionally, the strategies of SCCT are successful. The least effective strategy was when the nonprofit was responding to an accident, the most frequent type of crisis situation.",academic_research,"Nonprofit in Crisis: An Examination of the Applicability of Situational Crisis Communication TheoryCoombs' (2007) Situational Crisis Communication Theory (SCCT) provides the theoretical framework for a 3 × 2 experiment testing the effects of SCCT response strategies from a nonprofit organization. The body of research devoted to crisis communication rarely addresses one of the largest areas of public relations, the public sector. Findings illustrate that in two extremes, one in which the nonprofit is a victim and one in which the nonprofit acts intentionally, the strategies of SCCT are successful. The least effective strategy was when the nonprofit was responding to an accident, the most frequent type of crisis situation."
2012,1,"Juan Meng, Bruce K. Berger, Karla K. Gower & William C. Heyman","A Test of Excellent Leadership in Public Relations: Key Qualities, Valuable Sources, and Distinctive Leadership Perceptions","To better understand leadership in public relations and explore its value in successful communication management, this article captured the perceptions of mid- and senior-level public relations executives (N = 222) regarding the important qualities and dimensions of excellent leadership in the practice. According to study participants, strategic decision-making capability, problem-solving ability, and communication knowledge and expertise are the three most important qualities of excellent leadership. In addition, respondents said that on-the-job experiences, individual initiative and desire, and role models are the most valuable sources of leadership skills and development. About half of the respondents indicated that excellent leaders in public relations are different from leaders in other fields in three ways: They must hold a compelling vision for communication, possess comprehensive understanding of media and information systems, and effectively develop and implement strategic communication plans. Professional women and men in the study viewed excellent leadership in more or less similar ways. The study advances understanding of leadership in the field, which has been little explored in the public relations literature.",academic_research,"A Test of Excellent Leadership in Public Relations: Key Qualities, Valuable Sources, and Distinctive Leadership PerceptionsTo better understand leadership in public relations and explore its value in successful communication management, this article captured the perceptions of mid- and senior-level public relations executives (N = 222) regarding the important qualities and dimensions of excellent leadership in the practice. According to study participants, strategic decision-making capability, problem-solving ability, and communication knowledge and expertise are the three most important qualities of excellent leadership. In addition, respondents said that on-the-job experiences, individual initiative and desire, and role models are the most valuable sources of leadership skills and development. About half of the respondents indicated that excellent leaders in public relations are different from leaders in other fields in three ways: They must hold a compelling vision for communication, possess comprehensive understanding of media and information systems, and effectively develop and implement strategic communication plans. Professional women and men in the study viewed excellent leadership in more or less similar ways. The study advances understanding of leadership in the field, which has been little explored in the public relations literature."
